example_id,text,label
EX-0685,My account was locked after failed attempts,account_locked
EX-1453,I found a bug on the checkout page,technical_bug
EX-0778,Can an admin please unlock my account Thanks,account_locked
EX-0108,Password reset keeps timing out Let me know,password_reset
EX-0926,I want to downgrade and eventually cancel my plan,cancel_subscription
EX-0181,Can someone help me recover my account password,password_reset
EX-1499,The calendar widget is showing wrong dates ASAP please,technical_bug
EX-0112,I forgot my password and cannot log in,password_reset
EX-0044,I changed my password but it still does not work,password_reset
EX-1249,Please help me add a backup payment method!!,update_payment
EX-0744,How do I unlock my accoutn after too many tries,account_locked
EX-1377,The form resets when I click submit,technical_bug
EX-1376,I get an error message when I try to save my profile,technical_bug
EX-0585,My order still has not arrived,shipping_delay
EX-0550,The tracking number shows no movement for days,shipping_delay
EX-1483,"Hello, Images are not displaying on the product page",technical_bug
EX-0963,I dont want to be auto renewed next month,cancel_subscription
EX-0012,I locked myself out after too many wrong passwords,password_reset
EX-0076,"Good morning, My temporary password is not being accepted",password_reset
EX-0331,I was chaged twice this month.,billing_refund
EX-0163,"Hello, I locked myself out after too many worng passwords",password_reset
EX-0731,I am seeing an accoutn locked message,account_locked
EX-1428,The form resets when I click submit,technical_bug
EX-0657,The carrier says they cannot find my package,shipping_delay
EX-0618,The tracking number shows no movement for days Thanks in advance,shipping_delay
EX-1104,Need help - My payment keeps failing because the card is old,update_payment
EX-1500,The export function generatse a corrupted file,technical_bug
EX-1350,The export function generates a corrupted file Thanks in advance,technical_bug
EX-0057,How do I reset my account password,password_reset
EX-0354,Your system double iblled me again,billing_refund
EX-0466,The estimated delivery date has passed Any help appreciated,shipping_delay
EX-0822,I need help getting back into my locked account Let me know,account_locked
EX-0267,Hey I need a receipt and refund for my last transaction,billing_refund
EX-0093,My password expired and I need a new one,password_reset
EX-0409,I see an unknown charge on my statement,billing_refund
EX-0471,Can you check the status of my shipment,shipping_delay
EX-0610,My package seems to be stuck in transit,shipping_delay
EX-0786,The system locked me out for no reason,account_locked
EX-0632,My order still has not arrived,shipping_delay
EX-0462,I need to change my delivery address for a delayed order,shipping_delay
EX-0530,I paid for fast shipping and it is still not here,shipping_delay
EX-0833,My account has been locked for hours now ASAP please,account_locked
EX-0029,"Hi there, i want to set up a stronger password",password_reset
EX-1101,The card on my account has expired Thanks,update_payment
EX-1275,Can I update my payment to use PayPal instead,update_payment
EX-1340,I cannot upload files the upload button does nothing,technical_bug
EX-0793,How do I unlock my account after too many tries ASAP please,account_locked
EX-0343,Need help - My account shows a pending charge I did not authorize.,billing_refund
EX-0489,When will my order finally be delivered Thanks,shipping_delay
EX-1093,I dont want to be auto renewed next month,cancel_subscription
EX-1286,Sorry to bother you but The card on my account has expired,update_payment
EX-0611,The carrier says they cannot find my package,shipping_delay
EX-0551,Is there a way to expedite my dealyed order,shipping_delay
EX-0297,Sorry to bother you but You charged me after I cancelled my subscription Any help appreciated,billing_refund
EX-0235,I see an unknown charge on my statement,billing_refund
EX-0769,Urgent - My account was locked after failed attempts,account_locked
EX-0671,I need help getting back into my locked account,account_locked
EX-1029,"Hi there, I need to cancel before the next billing cycle",cancel_subscription
EX-0156,Can you manually reset my password please,password_reset
EX-0599,Urgent - I paid for fast shipping and it is still not here,shipping_delay
EX-1456,The page keeps loading and never finishes.,technical_bug
EX-0220,Urgent - Where do I go to change my password,password_reset
EX-0405,"Good morning, Your system double billed me again",billing_refund
EX-0895,I submitted a cancellation but I was still charged,cancel_subscription
EX-1455,My data is not syncing between desktop and mobile,technical_bug
EX-1043,Please stop renewing my subscription,cancel_subscription
EX-0690,"Hi, Can an admin please unlock my account",account_locked
EX-1138,Where can I change my stored payment information,update_payment
EX-1418,Quick quesiton: I get an error message when I try to save my profile,technical_bug
EX-1091,I need to cancel before the next billing cycle,cancel_subscription
EX-1151,I want to pay with a different card,update_payment
EX-1405,The export function generates a corrupted file,technical_bug
EX-0838,I need help getting back into my locked account!!,account_locked
EX-0105,"Good morning, I cannot remebmer my login credentials",password_reset
EX-0886,I tried cancelling but the button does not work,cancel_subscription
EX-1431,"Hello, I get a 500 errro when I try to access my orders",technical_bug
EX-0397,"Hello, I was charged twice this month",billing_refund
EX-0415,My accoutn shows a pending charge I did not authorize,billing_refund
EX-0117,Hey I cannot remember my login credentials Let me know,password_reset
EX-1330,"Hi there, Videos do not play they just show a black screne",technical_bug
EX-0098,Sorry to bother you but I locked myself out after too many wrong passwords,password_reset
EX-0807,The system locked me out for no reason Thanks,account_locked
EX-0168,I cant remember my login credentials,password_reset
EX-0953,Urgent - Can you confirm my subscription has been cancelled,cancel_subscription
EX-0965,Need help - Please cancel my account and stop all charges,cancel_subscription
EX-0310,Quick question: I was charged full price but had a coupon,billing_refund
EX-1387,The form resets when I click submit,technical_bug
EX-0854,Can an admin please unlock my account,account_locked
EX-1293,My bank issued a replacement card I need to update ASAP please,update_payment
EX-0045,Password reset keeps timing out,password_reset
EX-0906,Need help - The cancel button is not showing on my account page,cancel_subscription
EX-0726,"Good morning, How do I unlock my account after too many tries",account_locked
EX-0543,Need help - My hsipment has been in the same location for a week,shipping_delay
EX-0532,I need an update on my order delievery,shipping_delay
EX-1076,Please process my cancellation request right away,cancel_subscription
EX-0322,My account shows a pending charge I did not authorize,billing_refund
EX-0382,Please help me request a refund for an accidental charge,billing_refund
EX-0039,The reset email never arrived in my inbox,password_reset
EX-1420,The page keeps loading and never finishes,technical_bug
EX-0278,"Hi, Can I get a refund for a duplicate payment asap",billing_refund
EX-1054,Please process my cancellation request right away,cancel_subscription
EX-1288,Need help - I need to remove my old card and add a new one,update_payment
EX-1503,The mobile app freezes when I scroll through my feed Let me know,technical_bug
EX-0370,"Hello, I need a refund for a service I did not use",billing_refund
EX-0068,Please send me a passwrod recovery link Let me know,password_reset
EX-1333,The app crashes when I open setitngs,technical_bug
EX-0760,My account got locked and I cant do anything,account_locked
EX-1520,I get a 500 error when I try to access my orders,technical_bug
EX-0572,My delievery was supposed to arrive yesterday,shipping_delay
EX-0408,Quick question: How long does it take to process a refund!!,billing_refund
EX-0915,I do not want to be auto renewed next month,cancel_subscription
EX-1321,The dark mode tgogle breaks the layout,technical_bug
EX-1170,My bank issued a replacement card I need to update Please advise,update_payment
EX-1111,I want to change the billing address for my card,update_payment
EX-1202,The saved payment method needs to be updated urgently,update_payment
EX-1157,My payment failed how can I add a new card,update_payment
EX-1025,I tried cancelling but the buton doesnt work thanks,cancel_subscription
EX-0967,Quick question: Please cancel my account and stop all charges,cancel_subscription
EX-0061,I keep getting invalid password error ASAP please,password_reset
EX-0623,My delivery was supposed to arrive yesterday?,shipping_delay
EX-1430,Hey The form resets when I click subimt,technical_bug
EX-0026,Can someone help me recover my accoutn password,password_reset
EX-0498,My package was marked delivered but I never received it.,shipping_delay
EX-1493,The page kepes loading and never finishes,technical_bug
EX-0827,Need help - The ysstem locked me out for no reason,account_locked
EX-0976,Stop charging my card I want to cancel,cancel_subscription
EX-0728,Please remove the lock from my profile!!,account_locked
EX-0883,Sorry to bother you but I do not want to be auto renewed next month,cancel_subscription
EX-0324,Your system double billed me again,billing_refund
EX-0493,My package seems to be stuck in transit,shipping_delay
EX-1445,Sorry to bother u but I get an error message when I try to save my profile asap,technical_bug
EX-0619,I need to change my delivery address for a delayed order,shipping_delay
EX-1260,"Hello, Can I update my payement to use PayPal instead",update_payment
EX-1492,Sorry to bother you but The notification system is sending duplicate alerts,technical_bug
EX-0435,How long does it take to process a refund thanks,billing_refund
EX-0875,My account was locked due to suspicious activity,account_locked
EX-1352,Feature is not working as expected,technical_bug
EX-1325,The form resets when I click submit,technical_bug
EX-0172,I locked myself out after too many wrong passwords,password_reset
EX-0300,I want to know why I was charged this amount Thanks in advance,billing_refund
EX-0730,The account lockout is preventing me from working,account_locked
EX-1356,The notification system is sending duplicate alerts,technical_bug
EX-0088,I tried resetting but the page gives an error,password_reset
EX-0403,I need a refund for a service I did not use,billing_refund
EX-1227,My payment failed how can I add a new card,update_payment
EX-0292,Please help me request a refund for an accidental charge,billing_refund
EX-1099,I want to opt out of my current plan,cancel_subscription
EX-1375,The form resets when I click sbumit,technical_bug
EX-0155,How long does the password reset link last,password_reset
EX-1401,Urgent - The form resets when I click submit,technical_bug
EX-0497,"Good morning, Can you check the status of my shipment",shipping_delay
EX-0006,"Hi, Password reset link is not working",password_reset
EX-0830,Need help - My accoutn was locked due to suspicious activity,account_locked
EX-0167,I want to set up a stronger password,password_reset
EX-0814,My account got locked and I cannot do anything,account_locked
EX-1323,Urgent - The page keeps loadign and never finishes,technical_bug
EX-1192,Hey My payment keeps failing because the card is old,update_payment
EX-0501,My package seems to be stuck in transit,shipping_delay
EX-1487,"Hello, There is a display glitch on the dashboard",technical_bug
EX-0476,My order still has not arrived,shipping_delay
EX-0229,"Good morning, I was charged full price but had a coupon Thanks in advance",billing_refund
EX-0691,My account was locked due to suspicious activity,account_locked
EX-0815,I cannot log in because of an account security hold Let me know,account_locked
EX-0264,Quick question: My account shows a pending charge I did not authorize,billing_refund
EX-1255,Please change my billing method,update_payment
EX-0724,"Hi there, How long will my account stay locked",account_locked
EX-0316,"Hello, I need a refund for a service I did not use",billing_refund
EX-1133,Can I update my payement to use PayPal instead,update_payment
EX-0219,I forgot my password and cannot log in,password_reset
EX-0614,"Hi there, I need an update on my order delivery",shipping_delay
EX-1020,Please process my cancellation request right away,cancel_subscription
EX-0463,"Good morning, shiping is delayed and tracking has not updated Any help appreciated",shipping_delay
EX-1080,Please stop renewing my subscription,cancel_subscription
EX-1237,I got a new credit card and need to update my account,update_payment
EX-0860,How do I unlock my account after too many tries,account_locked
EX-0249,How do I dispute a charge on my account,billing_refund
EX-0173,Can someone help me recover my account password,password_reset
EX-0970,How do I cancel my membership,cancel_subscription
EX-0432,I need a refund for a service I did not use,billing_refund
EX-1178,I want to change the billing address for my card,update_payment
EX-0627,My order still has not arrived,shipping_delay
EX-1179,The saved payment method needs to be updated urgently,update_payment
EX-1269,I want to switch from credit card to debit card,update_payment
EX-1184,Sorry to bother you but I want to pay with a different card,update_payment
EX-0325,The promotional price was not applied to my bill,billing_refund
EX-0662,Please unlock my account,account_locked
EX-0036,The reset email never arrived in my inbox,password_reset
EX-1379,Need help - The form resets when I click submit,technical_bug
EX-0479,I paid for fast shipping and it is still not here,shipping_delay
EX-1222,My payment keeps failing because the card is old,update_payment
EX-1513,Need help - The app crashes when I open settings ASAP please,technical_bug
EX-1089,"Good morning, I want to stop my recurring payments",cancel_subscription
EX-0419,I see an unknown charge on my statement Thanks,billing_refund
EX-0272,Please help me request a refund for an accidental charge Please advise,billing_refund
EX-0134,Hey Password reset link is not working,password_reset
EX-0669,My account was locked after failed attempts,account_locked
EX-1207,Hey How do I update the expiration date on my card,update_payment
EX-0478,Need help - I need to change my delivery address for a delayed order Please advise,shipping_delay
EX-0959,Stop charging my card I want to cancel!!,cancel_subscription
EX-1118,Please help me add a backup payment method,update_payment
EX-0811,Quick quesiton: The lock on my account has not been removed yet asap,account_locked
EX-0739,My account got locked and I cannot do anything,account_locked
EX-0123,Quick quesiton: The reset email never arrived in my inbox,password_reset
EX-0360,Billing error I need a refund,billing_refund
EX-1077,How do I cancel my membership,cancel_subscription
EX-0004,passwrod reset keeps timing out,password_reset
EX-0763,The lock on my account has not been removed yet ASAP please,account_locked
EX-0154,My password expired and I need a new one,password_reset
EX-0626,When will my order finally be delivered,shipping_delay
EX-0257,I cancelled within the refund window but was still charged,billing_refund
EX-0345,Need help - Can I get a refund for a duplicate payment,billing_refund
EX-0916,I want to stop my recurring payments,cancel_subscription
EX-0271,I need a refund for a service I did not use,billing_refund
EX-0993,Please cancel my account and stop all charges,cancel_subscription
EX-0723,I verified my identity but my account is still locked,account_locked
EX-0287,The wrong amount was billed to my card,billing_refund
EX-0412,Quick question: Billing error I need a refund ASAP please,billing_refund
EX-1276,The saved payment method needs to be updated urgently,update_payment
EX-1128,"Good morning, Please help me add a backup payement method",update_payment
EX-1378,Videos do not play they just show a black screen,technical_bug
EX-0176,Can someone help me recover my account password,password_reset
EX-0991,Cancel my subscription immediately,cancel_subscription
EX-1090,Stop charging my card I want to cancel,cancel_subscription
EX-0696,I cant log in because of an account security hold,account_locked
EX-0357,Need help - I need a receipt and refund for my last transaction,billing_refund
EX-0063,My password expired and I need a new one,password_reset
EX-1183,I want to pay with a different card Please advise,update_payment
EX-0986,I want to downgrade and eventually cancel my plan,cancel_subscription
EX-0431,"Good morning, i need a refund for a service I did not use",billing_refund
EX-0055,"Good morning, Password reset keeps timing out",password_reset
EX-1001,"Hi there, Where is the option to cancel my subscribtion.",cancel_subscription
EX-0196,Please send me a password recovery link,password_reset
EX-1002,"Good morning, The cancel button is not showing on my account page thanks",cancel_subscription
EX-0560,I ordered express shipping but it is taking too long,shipping_delay
EX-0824,"Hi, The lock on my account has not been removed yet",account_locked
EX-0256,I need a recepit and refund for my last transaction,billing_refund
EX-0252,Your system double billed me again Thanks,billing_refund
EX-1165,I want to change the billing address for my card,update_payment
EX-0874,Quick question: Can an admin please unlock my account,account_locked
EX-1069,I want to downgrade and eventually cancel my plan,cancel_subscription
EX-1472,The notification system is sending duplicate alerts,technical_bug
EX-0240,How long does it take to process a refund,billing_refund
EX-0896,The cancel button is not showing on my account page,cancel_subscription
EX-0396,My account shows a pending charge I did not authorize,billing_refund
EX-1259,Where can I change my stored payement information,update_payment
EX-1198,Please help me add a backup payment method.,update_payment
EX-0746,Need help - Can an admin pls unlock my account?,account_locked
EX-0165,Where do I go to change my password Thanks in advance,password_reset
EX-1216,"Hi, I want to change the billing address for my card",update_payment
EX-0389,"Hello, I see an unknown charge on my statement",billing_refund
EX-1309,"Good morning, I need to update my card on file Let me know",update_payment
EX-0362,"Hi there, How long does it take to process a refund",billing_refund
EX-0877,"Good morning, Please unlock my account Any help appreciated",account_locked
EX-0997,Stop charging my card I want to cancel,cancel_subscription
EX-0066,I treid resetting but the page gives an error,password_reset
EX-1045,I want to cancel my monthly plan,cancel_subscription
EX-1103,"Hi there, My payment failed how can I add a new card",update_payment
EX-1438,The calender widget is showing wrong dates,technical_bug
EX-1491,Feature is not working as expected,technical_bug
EX-1212,I want to pay with a different card,update_payment
EX-1273,How do I update the expiration date on my card!!,update_payment
EX-1230,My card was compromised and I need to replace it,update_payment
EX-1169,"Hello, I want to switch from credit card to debit card",update_payment
EX-0447,Urgent - I paid for fast shiping and it is still not here,shipping_delay
EX-1451,"Hi there, Feature is not working as expected",technical_bug
EX-0576,Shipping is delayed and tracking has not updated,shipping_delay
EX-0903,Urgent - Please cancel my account and stop all charges Thanks,cancel_subscription
EX-0251,I need a receipt and reufnd for my last transaction,billing_refund
EX-0676,My account got locked and I cannot do anything?,account_locked
EX-1267,Can I update my payment to use PayPal instead Let me know,update_payment
EX-0514,Urgent - It has been two weeks and my order is not here yet,shipping_delay
EX-1196,I need to update my card on file Please advise,update_payment
EX-0515,Is there a way to expedite my delayed order.,shipping_delay
EX-0318,How long does it take to process a refund,billing_refund
EX-0672,My accoutn has been locked for hours now,account_locked
EX-0721,I am seeing an account locked message,account_locked
EX-0422,Billing error I need a refund,billing_refund
EX-0790,The ssytem locked me out for no reason Any help appreciated,account_locked
EX-0356,Can I get a refund for a duplicate payment,billing_refund
EX-0598,My ordre still has not arrived,shipping_delay
EX-0385,I want to know why I was charged this amount,billing_refund
EX-1400,The page keeps loading and never finishes,technical_bug
EX-0636,Shipping is delayed and tracking has not updated,shipping_delay
EX-1062,Stop charging my card I want to cancel,cancel_subscription
EX-1531,The mobile app freezes when I scroll through my feed,technical_bug
EX-0846,"Hi there, My account was locked after failed attempts",account_locked
EX-1182,How do I switch to a different payement method,update_payment
EX-0547,My shipment has been in the same location for a week,shipping_delay
EX-0421,I need a reciept and refund for my last transaction,billing_refund
EX-1297,My bank issued a replacement card I need to update?,update_payment
EX-0637,The carrier says they cannot find my package,shipping_delay
EX-1200,I need to update my card on file,update_payment
EX-0776,"Hello, I verified my identity but my account is still locked",account_locked
EX-0999,Can you confirm my subscription has been cancelled,cancel_subscription
EX-1215,Can I update my payment to use PayPal instead,update_payment
EX-0950,"Hi, I submitted a cancellation but I was still chaged",cancel_subscription
EX-0449,My package seems to be stuck in transit,shipping_delay
EX-1434,Hey The notification system is sendnig duplicate alerts,technical_bug
EX-1050,Please cancel my account and stop all charges,cancel_subscription
EX-1242,I need to updtae my card on file Let me know,update_payment
EX-1098,How do I cancel my membership,cancel_subscription
EX-1147,How do I update the expiration date on my card Any help apperciated,update_payment
EX-1122,Sorry to bother you but The card on my accoutn has expired,update_payment
EX-1362,I get an error message when I try to save my profile,technical_bug
EX-0446,Quick question: I need an update on my order delivery,shipping_delay
EX-1494,The dropdown menu is not showing any options?,technical_bug
EX-0005,I changed my passwrod but it still does not work thanks,password_reset
EX-1471,Quick question: The form resets when I click submit,technical_bug
EX-0509,I paid for fast shipping and it is still not here Let me know,shipping_delay
EX-0729,I cannot access my account it says temporarily locked,account_locked
EX-1035,How do I cnacel my membership,cancel_subscription
EX-1048,The cancel buton is not showing on my account page Any help appreciated,cancel_subscription
EX-0573,Sorry to bother you but Is there a way to expedite my delayed order,shipping_delay
EX-1446,Videos do not play they just show a black screen,technical_bug
EX-0698,"Hello, I am seeing an account locked message",account_locked
EX-1316,Can I update my payment to use PayPal instead,update_payment
EX-0038,My password expired and I need a new one,password_reset
EX-0935,How do I end my subscription before it renews,cancel_subscription
EX-1074,Where is the option to cancel my subscription,cancel_subscription
EX-0592,Is there a way to expedite my delayed order,shipping_delay
EX-1353,"Hi, Feature is not working as expected",technical_bug
EX-1177,"Good morning, Can I set a different default payment method",update_payment
EX-1314,Urgent - Please help me add a backup payment method,update_payment
EX-1135,Where can I change my stored payment information,update_payment
EX-0507,Urgent - Can you check the status of my shipment,shipping_delay
EX-0079,Password reset keeps timing out,password_reset
EX-0338,How do I dispute a charge on my accoutn?,billing_refund
EX-1136,The saved payment method needs to be updated urgently,update_payment
EX-0032,Please send me a password recovery link,password_reset
EX-0438,Need help - Your system double billed me again,billing_refund
EX-0714,The lock on my account has not been removed yet,account_locked
EX-1037,How do I cancel my membership,cancel_subscription
EX-0329,How long does it take to process a refund,billing_refund
EX-1247,I want to change the billing address for my card,update_payment
EX-0170,How do I reset my account password,password_reset
EX-0418,Can I get a refund for a duplicate payement Let me know,billing_refund
EX-1229,Where can I change my stored payment information!!,update_payment
EX-1071,Cancel my subscription immediately,cancel_subscription
EX-0856,Please remove the lock from my profile,account_locked
EX-0375,I was overcharged for my last order Please advise,billing_refund
EX-0313,I was overcharged for my last order,billing_refund
EX-1084,I want to opt out of my current plan Let me know,cancel_subscription
EX-0788,Can an admin please unlock my accoutn Please advise,account_locked
EX-0818,How do I unlock my account after too many tries,account_locked
EX-1003,I want to cancel my monthly plan Thanks,cancel_subscription
EX-0138,Password reset link is not working,password_reset
EX-1292,The saved payment method needs to be updated urgently,update_payment
EX-0116,I keep getting invalid password error,password_reset
EX-1327,mIages are not displaying on the product page,technical_bug
EX-0019,I locked myself out after too many wrong passwords,password_reset
EX-0246,How do I dispute a charge on my account,billing_refund
EX-0936,Please stop renewing my subscription,cancel_subscription
EX-0708,I cannot log in because of an account security hold,account_locked
EX-1271,"Hi there, The system is not accepting my new card number",update_payment
EX-1060,Please cancel my accoutn and stop all charges,cancel_subscription
EX-0980,"Hi there, Stop charging my card I want to cancel Let me know",cancel_subscription
EX-1153,My bank issued a replacement card I need to update,update_payment
EX-0186,I changed my password but it still does not work,password_reset
EX-1403,The page keeps loading and never finishes,technical_bug
EX-1398,Sorry to bother you but The page keeps loading and neevr finishes,technical_bug
EX-0718,My account got locked and I cannot do anything.,account_locked
EX-0891,"Hi, I tried cancelling but the button does not work",cancel_subscription
EX-1129,My payment keeps failing because the card is old,update_payment
EX-0037,"Good morning, My password expired and I need a new one",password_reset
EX-0920,Please process my cancellation request right away,cancel_subscription
EX-1282,Can I set a different default payment method,update_payment
EX-1131,How do I update the expiration date on my card,update_payment
EX-1467,The notiifcation system is sending duplicate alerts,technical_bug
EX-0334,Sorry to bother you but I need a refund for a service I did not use,billing_refund
EX-1299,I got a new credit card and need to update my account,update_payment
EX-1540,The export function generates a corrupted file,technical_bug
EX-0008,My password expired and I need a new one,password_reset
EX-1539,The page keeps loading and never finishes,technical_bug
EX-1117,I got a new credit card and need to update my account,update_payment
EX-0519,The tracking number shows no movement for days,shipping_delay
EX-0291,I cancelled within the refund window but was still chaged thanks,billing_refund
EX-0190,"Hi there, i tried resetting but the page gives an error",password_reset
EX-0483,"Hello, It has been two weeks and my order is not here yet",shipping_delay
EX-0237,I need a receipt and reufnd for my last transaction,billing_refund
EX-0758,I got locked out after entering the wrong password,account_locked
EX-0104,The reset email never arrived in my inbox,password_reset
EX-0834,How do I unlock my account after too many tries,account_locked
EX-0663,Please unlock my account,account_locked
EX-0796,How long will my account stay locked,account_locked
EX-0992,"Hi, I no longer need this service please cancel it",cancel_subscription
EX-0474,My package seems to be stuck in transit,shipping_delay
EX-0590,The delivery status says exception what does that mean,shipping_delay
EX-1116,I need to remove my old card and add a new one?,update_payment
EX-0787,I need help getting back into my locked account!!,account_locked
EX-0086,I keep getting invalid password error,password_reset
EX-1254,"Hi there, i want to pay with a different card Please advsie",update_payment
EX-0296,You charged me after I cancelled my subscription,billing_refund
EX-1360,The export function generates a corrupted file,technical_bug
EX-1057,Stop charging my card I want to cancel,cancel_subscription
EX-0894,I need to cancel before the next billing cycle,cancel_subscription
EX-0907,I tried cancelling but the button does not work,cancel_subscription
EX-1263,I want to change the billing address for my card,update_payment
EX-0589,The carrier says they cannot find my package,shipping_delay
EX-0675,My account was locked due to suspicious activity,account_locked
EX-0569,The delivery status says exception what does that mean ASAP please,shipping_delay
EX-0925,"Hi, Can I cancel and get a prorated refund",cancel_subscription
EX-0211,"Hi there, How long does the password reset link last",password_reset
EX-0402,You charged me after I cancelled my subscription,billing_refund
EX-1280,The card on my account has expired,update_payment
EX-1523,I get a 500 error when I try to access my roders,technical_bug
EX-1016,Hey I want to stop my recurring payments,cancel_subscription
EX-0548,Can you check the status of my shpiment,shipping_delay
EX-0099,I cannot remember my login credentials,password_reset
EX-1305,I want to pay with a difefrent card,update_payment
EX-0073,"Hello, The reset email never arrived in my inbox",password_reset
EX-1032,I do not want to be auto renewed next month,cancel_subscription
